Name		Red	Green	Blue	HEX
wheat4	139	126	102	#8B8B7E
white	255	255	255	#FFFFFF
white smoke	245	245	245	#F5F5F5
WhiteSmoke	245	245	245	#F5F5F5
yellow	255	255	0	#FFFFFF
yellow green	154	205	50	#9A9ACD
yellow1	255	255	0	#FFFFFF
yellow2	238	238	0	#EEEEEE
yellow3	205	205	0	#CDCDCD
yellow4	139	139	0	#8B8B8B
YellowGreen	154	205	50	#9A9ACD
